experiment_group,scenario,seed,pricing_policy,dispatch_policy,n_requests,n_completed,n_abandoned,n_cancelled_postmatch,n_rejected_offer,avg_wait_min,median_wait_min,p90_wait_min,cancellation_rate,completion_rate,fulfillment_rate,rider_conversion_rate,avg_price,price_index,avg_pickup_distance_km,gbv,platform_revenue,driver_payout_total,revenue_per_ride,n_online_drivers,total_online_hours,total_active_hours,driver_utilization_mean,earnings_per_online_hour_mean,earnings_per_active_hour,driver_acceptance_rate,north_star_trips_per_online_hour,unmatched_requests
core,NORMAL,0,NO_SURGE,NEAREST_DRIVER,5925,3214,651,734,1307,4.188550093341631,2.0,10.0,0.23375527426160336,0.5424472573839663,0.5424472573839663,0.5424472573839663,110.21921477377022,1.0,1.3927728949005427,354244.5562828975,88561.13907072437,265683.4172121731,27.554803693442555,260,1690.3333333333333,1009.4833333333333,0.5610464993966328,148.73051652382185,263.1875222098827,0.6941382327209099,1.9014001183198581,1385
core,NORMAL,0,NO_SURGE,ETA_OPTIMIZED,5925,3299,604,707,1297,4.24734768111549,3.0,9.0,0.22126582278481013,0.5567932489451477,0.5567932489451477,0.5567932489451477,110.32571041570421,1.0,1.2407379086874446,363964.51866140816,90991.12966535204,272973.3889960561,27.581427603926052,260,1694.9,996.5333333333333,0.5476082693665135,151.81194096645365,273.9229886901821,0.6845329249617151,1.9464275178476604,1311
core,NORMAL,0,NO_SURGE,DRIVER_EARNINGS_AWARE,5925,3216,626,748,1319,4.124067164179104,2.0,10.0,0.23189873417721518,0.5427848101265823,0.5427848101265823,0.5427848101265823,110.48810134884029,1.0,1.378591158004779,355329.73393787036,88832.43348446759,266497.3004534028,27.622025337210072,260,1689.8,1013.0333333333333,0.5673932294752282,151.34810618928918,263.06863918930225,0.6906125281971196,1.9031838087347615,1374
core,NORMAL,0,NO_SURGE,MARKETPLACE_AWARE,5925,3195,642,746,1325,4.175899843505477,2.0,10.0,0.23426160337552743,0.5392405063291139,0.5392405063291139,0.5392405063291139,110.71285910111595,1.0,1.3810439405402601,353727.5848280655,88431.89620701637,265295.6886210491,27.678214775278988,260,1691.9166666666667,1011.4166666666666,0.5563972643598684,147.96221411284677,262.30108457218336,0.6863187099011617,1.8883908781953405,1388
core,NORMAL,0,NO_SURGE,ADVANCED_HEURISTIC,5925,3019,600,850,1437,4.403444849287844,2.0,11.0,0.24472573839662448,0.5095358649789029,0.5095358649789029,0.5095358649789029,110.70650497496126,1.0,1.5009485025189766,334222.93851940805,83555.73462985201,250667.20388955605,27.676626243740316,260,1693.3666666666666,983.25,0.5394559099338776,139.6883774261549,254.9374054305172,0.6983471074380165,1.7828389204936912,1450
core,NORMAL,0,BASIC_SURGE,NEAREST_DRIVER,5925,3187,568,739,1416,4.3473486037025415,2.0,11.0,0.22059071729957805,0.5378902953586497,0.5378902953586497,0.5378902953586497,111.4205546497592,1.0103741046960233,1.4515313518380057,355097.30766878254,88774.32691719563,266322.9807515869,27.8551386624398,260,1690.2166666666667,1008.0,0.5521750730579341,148.01226129149822,264.2093063011775,0.690676480897301,1.8855570784810625,1307
core,NORMAL,0,BASIC_SURGE,ETA_OPTIMIZED,5925,3313,533,681,1379,4.146392997283429,3.0,9.0,0.2048945147679325,0.5591561181434599,0.5591561181434599,0.5591561181434599,111.89958698873673,1.0105588240252643,1.2228781239955713,370723.3316936848,92680.8329234212,278042.4987702636,27.974896747184182,260,1698.2,998.8166666666667,0.5457104105302858,152.9015792779011,278.371905525135,0.6933978568959558,1.9508891767754093,1214
core,NORMAL,0,BASIC_SURGE,DRIVER_EARNINGS_AWARE,5925,3199,550,753,1404,4.124413879337293,2.0,10.0,0.219915611814346,0.539915611814346,0.539915611814346,0.539915611814346,111.35838656597561,1.0083000639272077,1.3930057313441147,356235.478624556,89058.869656139,267176.608968417,27.839596641493902,260,1689.5833333333333,1009.35,0.5659933459479554,152.1055889602894,264.701648554433,0.6931401640775005,1.8933662145499384,1303
core,NORMAL,0,BASIC_SURGE,MARKETPLACE_AWARE,5925,3243,566,726,1371,4.067221708294789,2.0,10.0,0.2180590717299578,0.5473417721518987,0.5473417721518987,0.5473417721518987,110.88674347823746,1.00745940002622,1.359085079324535,359605.7090999241,89901.42727498102,269704.281824943,27.721685869559366,260,1692.5833333333333,1012.2333333333333,0.5571926148744167,150.38052662641547,266.4447740885926,0.6858764837433339,1.9160061050662203,1292
core,NORMAL,0,BASIC_SURGE,ADVANCED_HEURISTIC,5925,3016,553,832,1506,4.421419098143236,2.0,11.0,0.23375527426160336,0.5090295358649789,0.5090295358649789,0.5090295358649789,110.81957798306932,1.0032557587214574,1.521890562533419,334231.8471969371,83557.96179923427,250673.8853977028,27.70489449576733,260,1693.6333333333334,974.95,0.538745862682422,140.63270074302264,257.11460628514567,0.6903571428571429,1.7807868684681847,1385
core,NORMAL,0,AGGRESSIVE_SURGE,NEAREST_DRIVER,5925,3207,396,621,1683,3.847832865606486,2.0,9.0,0.17164556962025315,0.5412658227848102,0.5412658227848102,0.5412658227848102,118.27199873266183,1.0721606350960533,1.3119300375154574,379298.2999356465,94824.57498391162,284473.7249517349,29.567999683165457,260,1690.0666666666666,985.2,0.5436119642474614,158.44784932124247,288.7471832640427,0.6978939724037764,1.8975582817245868,1017
core,NORMAL,0,AGGRESSIVE_SURGE,ETA_OPTIMIZED,5925,3276,385,577,1670,3.923382173382173,2.0,8.0,0.16236286919831225,0.5529113924050633,0.5529113924050633,0.5529113924050633,118.93917165908455,1.0739325802421187,1.181631136655167,389644.726355161,97411.18158879025,292233.54476637073,29.734792914771138,260,1692.7,972.3166666666667,0.5345954248945988,162.1698827770416,300.5538779544086,0.7040203747498636,1.9353695279730607,962
core,NORMAL,0,AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,5925,3209,404,628,1665,3.8765970707385478,2.0,9.0,0.17417721518987342,0.5416033755274262,0.5416033755274262,0.5416033755274262,119.16876696202182,1.0764548593850853,1.333272722562993,382412.573181128,95603.143295282,286809.429885846,29.792191740505455,260,1688.5666666666666,989.45,0.5530803247612793,161.11375926500165,289.8675323521613,0.6977922547955121,1.9004283712024006,1032
core,NORMAL,0,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,5925,3210,393,617,1689,3.8208722741433023,2.0,9.0,0.17046413502109706,0.5417721518987342,0.5417721518987342,0.5417721518987342,118.4301156464896,1.0698877267222933,1.297541711151583,380160.6712252316,95040.1678063079,285120.5034189237,29.6075289116224,260,1691.8666666666666,986.1,0.5406448237162176,157.636639519542,289.13954306756284,0.6915601943494691,1.8973126329892034,1010
core,NORMAL,0,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,5925,3034,392,750,1732,4.229070533948582,2.0,10.0,0.19274261603375528,0.5120675105485232,0.5120675105485232,0.5120675105485232,116.21363972624079,1.0504899314207248,1.4647867117978766,352592.18292941456,88148.04573235364,264444.1371970609,29.053409931560196,260,1691.4166666666667,968.5333333333333,0.5315539799197004,147.23466478823875,273.0356592755998,0.6931072210065645,1.7937626250184755,1142
core,NORMAL,0,CAPPED_SMOOTHED_SURGE,NEAREST_DRIVER,5925,3219,565,716,1409,4.22739981360671,2.0,10.0,0.21620253164556963,0.5432911392405063,0.5432911392405063,0.5432911392405063,112.53357266763223,1.0211782978671045,1.4108521505408917,362245.57041710813,90561.39260427703,271684.1778128311,28.133393166908057,260,1690.65,1008.5333333333333,0.5579765692406076,152.33454524103584,269.38542220997266,0.689649153429918,1.9040014195723538,1281
core,NORMAL,0,CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,5925,3304,528,698,1374,4.155569007263923,3.0,9.0,0.2069198312236287,0.5576371308016878,0.5576371308016878,0.5576371308016878,112.81685706231141,1.0192028275428053,1.2313861770449963,372746.8957338769,93186.72393346923,279560.1718004077,28.204214265577853,260,1694.4833333333333,998.15,0.5473178854772037,154.48065323280082,280.07831668627733,0.6964502164502164,1.949856888530427,1226
core,NORMAL,0,CAPPED_SMOOTHED_SURGE,DRIVER_EARNINGS_AWARE,5925,3185,551,737,1432,4.136577708006279,2.0,10.0,0.21738396624472575,0.5375527426160338,0.5375527426160338,0.5375527426160338,112.94607770203355,1.022262539225392,1.3934996467169192,359733.25748097687,89933.31437024422,269799.94311073265,28.236519425508387,260,1688.6333333333334,1005.8333333333334,0.5622833334029512,152.56223747450156,268.23523755830917,0.6990067399787159,1.886140666021832,1288
core,NORMAL,0,CAPPED_SMOOTHED_SURGE,MARKETPLACE_AWARE,5925,3267,565,676,1399,4.1202938475665745,2.0,10.0,0.20945147679324894,0.5513924050632911,0.5513924050632911,0.5513924050632911,112.71780564309024,1.019253802530585,1.370875258006875,368249.0710359758,92062.26775899396,276186.80327698187,28.17945141077256,260,1691.2166666666667,1018.0333333333333,0.5615744080743368,154.34160573588048,271.29445985100216,0.6867845993756504,1.9317453903994166,1241
core,NORMAL,0,CAPPED_SMOOTHED_SURGE,ADVANCED_HEURISTIC,5925,3086,531,821,1468,4.442320155541154,2.0,11.0,0.22818565400843882,0.5208438818565401,0.5208438818565401,0.5208438818565401,111.61309058894318,1.0089699757446546,1.5046806284817125,344437.99755747867,86109.49938936967,258328.49816810898,27.903272647235795,260,1691.2833333333333,994.3833333333333,0.5488473201473962,144.8056102512495,259.78763873902653,0.6932721172523397,1.8246499206716793,1352
core,NORMAL,1,NO_SURGE,NEAREST_DRIVER,6008,3248,642,774,1317,4.176724137931035,2.0,10.0,0.23568575233022637,0.5406125166444741,0.5406125166444741,0.5406125166444741,111.18358541985236,1.0,1.4183036848110633,361124.2854436805,90281.07136092012,270843.2140827604,27.79589635496309,260,1659.9833333333333,1038.5,0.58298408845999,154.66311902623448,260.80232458619196,0.6837217156366092,1.9566461510657738,1416
core,NORMAL,1,NO_SURGE,ETA_OPTIMIZED,6008,3314,594,746,1326,4.151478575739288,3.0,9.0,0.22303595206391477,0.5515978695073236,0.5515978695073236,0.5515978695073236,111.23204842113148,1.0,1.2709696572326978,368623.0084676297,92155.75211690743,276467.2563507223,27.80801210528287,260,1669.6,1020.4666666666667,0.5693656066391551,156.34751716841157,270.92237834068294,0.6875841184387618,1.9849065644465742,1340
core,NORMAL,1,NO_SURGE,DRIVER_EARNINGS_AWARE,6008,3239,623,781,1335,4.274158690953998,2.0,10.0,0.2336884154460719,0.5391145139813582,0.5391145139813582,0.5391145139813582,110.94211524956641,1.0,1.4568545377083542,359341.5112933456,89835.3778233364,269506.1334700092,27.735528812391603,260,1658.5666666666666,1039.8666666666666,0.591386645428629,155.0945227572262,259.1737403545415,0.6901840490797546,1.9528910505054566,1404
